id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
golden-china-waterloo,Golden China,['chinese'],42.4677398801,-92.3227614909,IA,"1227 W 27th St, Cedar Falls, IA 50614",12468.1650259634,4,13,False,Yes,Yes,Yes,Yes,,,,No,,Yes,Yes,Casual,Casual,Quiet,Full Bar,No,No,No,,Yes,Yes,,1
culvers-frozen-custard-restaurant-waterloo,Culver's Frozen Custard Restaurant,['burgers'],42.4567184,-92.352417,IA,"1227 W 27th St, Cedar Falls, IA 50614",11052.2095216511,4,7,False,No,No,Yes,Yes,,Lunch,Private Lot,,Yes,Yes,Yes,Casual,,Average,No,Yes,,No,,No,No,Yes,1
noodles-and-company-waterloo,Noodles & Company,"['italian', 'comfortfood', 'asianfusion']",42.4639854,-92.3242645,IA,"1227 W 27th St, Cedar Falls, IA 50614",12598.8172402288,3.5,9,False,No,No,Yes,Yes,,,,Yes,No,Yes,Yes,Casual,,Quiet,Beer & Wine Only,Yes,Free,No,,No,Yes,,1
longhorn-steakhouse-waterloo,LongHorn Steakhouse,"['steak', 'tradamerican']",42.4645802417,-92.3266525038,IA,"1227 W 27th St, Cedar Falls, IA 50614",12384.0323228846,3,21,False,Yes,No,No,Yes,,Dinner,Private Lot,,No,Yes,Yes,Casual,Casual,Average,Full Bar,No,,Yes,,Yes,No,,2
ramada-inn-five-sullivan-brothers-convention-ctr-waterloo,Ramada Inn-Five Sullivan Brothers Convention Ctr,"['hotels', 'restaurants']",42.4952499568,-92.3399698734,IA,"1227 W 27th St, Cedar Falls, IA 50614",10161.8606506708,2.5,2,False,,,,,,,,,,,Yes,,,Average,,,,,,,,,
panda-house-waterloo,Panda House,['chinese'],42.4643402,-92.3276062,IA,"1227 W 27th St, Cedar Falls, IA 50614",12326.5407648533,4.5,7,False,No,,Yes,Yes,,,Private Lot,Yes,,Yes,Yes,Casual,,Quiet,,No,Free,No,,Yes,,,1
briq-house-bar-and-grill-waterloo,Briqhouse Bar & Grill,"['pubs', 'restaurants']",42.49312,-92.33973,IA,"1227 W 27th St, Cedar Falls, IA 50614",10233.2007307993,4,1,False,No,No,Yes,Yes,,,,,No,,Yes,,,,Full Bar,No,,Yes,,,No,,2
hurricane-grill-and-wings-waterloo-2,Hurricane Grill & Wings,"['tradamerican', 'chicken_wings']",42.4659691,-92.3217316,IA,"1227 W 27th St, Cedar Falls, IA 50614",12674.0142233919,3,18,False,Yes,No,Yes,Yes,,,,No,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
guanajuato-taco-stand-waterloo,Guanajuato Taco Stand,['mexican'],42.4760210223,-92.3230475037,IA,"1227 W 27th St, Cedar Falls, IA 50614",12124.6708888817,5,2,False,No,No,Yes,No,,,,Yes,,Yes,,Casual,,Average,No,Yes,No,No,,No,No,,1
mama-nicks-circle-pizzeria-waterloo-2,Mama Nick's Circle Pizzeria,['pizza'],42.483101,-92.327988,IA,"1227 W 27th St, Cedar Falls, IA 50614",11465.2508956478,2,9,False,Yes,Yes,Yes,Yes,,,Private Lot,,,Yes,Yes,Casual,,Average,Beer & Wine Only,No,,Yes,,Yes,Yes,,2
