id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
feruqis-missoula,Feruqi's,"['bars', 'newamerican']",46.8726616,-113.9934006,MT,"32 Campus Dr, Missoula, MT 59812",1422.3962658644266,2.5,2,False,Yes,No,No,Yes,,,,,,No,Yes,Casual,,Average,Full Bar,No,No,Yes,,No,No,,1
the-montana-club-missoula,The Montana Club,['tradamerican'],46.8463648738331,-114.02037673144,MT,"32 Campus Dr, Missoula, MT 59812",3173.0896261086546,3.0,32,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,No,Yes,Yes,,2
the-keep-restaurant-missoula,The Keep Restaurant,"['steak', 'newamerican']",46.831104,-113.999603,MT,"32 Campus Dr, Missoula, MT 59812",3831.833928675201,3.0,18,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,No,Yes,Casual,Intimate,Quiet,Full Bar,Yes,No,No,,Yes,Yes,,2
rattlesnake-gardens-missoula,Rattlesnake Gardens,"['coffee', 'delis']",46.887283,-113.966064,MT,"32 Campus Dr, Missoula, MT 59812",3215.6046813324783,3.5,7,False,No,No,Yes,No,,,,Yes,,Yes,No,Casual,Casual,Quiet,No,Yes,No,No,,Yes,No,,2
face-club-restaurant-missoula,Face Club Restaurant,['thai'],46.8625,-114.011667,MT,"32 Campus Dr, Missoula, MT 59812",2038.772842659343,3.5,21,False,Yes,No,Yes,Yes,,,Garage,Yes,,No,Yes,Casual,Trendy,Quiet,Full Bar,No,No,No,,Yes,No,,2
zpizza-missoula,zpizza,"['vegan', 'gluten_free', 'pizza']",46.8748735977736,-113.992619087631,MT,"32 Campus Dr, Missoula, MT 59812",1610.0486681680181,3.5,10,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,,Yes,,Yes,,,,,1
huhot-mongolian-grill-missoula,HuHot Mongolian Grill,['chinese'],46.839008,-114.03405,MT,"32 Campus Dr, Missoula, MT 59812",4496.798169567205,4.0,38,False,No,No,Yes,Yes,,Dinner,Private Lot,No,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,No,,2
china-garden-restaurant-missoula,China Garden Restaurant,['chinese'],46.851284,-114.012566,MT,"32 Campus Dr, Missoula, MT 59812",2379.733373903762,4.5,20,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,No,,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,No,No,,Yes,,,2
zimorinos-red-pies-over-montana-missoula-3,Zimorino's Red Pies Over Montana,['pizza'],46.8777809,-114.0120468,MT,"32 Campus Dr, Missoula, MT 59812",2739.6177079168338,3.0,12,False,No,Yes,Yes,Yes,,Dinner,,No,,Yes,No,Casual,,Average,No,Yes,,No,,No,No,,2
milos-missoula,Milo's,['restaurants'],46.87093,-113.992432,MT,"32 Campus Dr, Missoula, MT 59812",1205.5989098905457,4.0,1,False,,,,,,,,,,,,,,,,,,,,,,,
the-oxford-saloon-missoula,The Oxford Saloon,"['casinos', 'tradamerican']",46.873108,-113.994026,MT,"32 Campus Dr, Missoula, MT 59812",1461.1543461565054,3.5,27,False,No,No,Yes,Yes,,Late Night,Street,Yes,Yes,No,Yes,Casual,Divey,Average,Full Bar,No,No,Yes,,Yes,No,,1
the-thomas-meagher-bar-missoula,The Thomas Meagher Bar,"['irish', 'sportsbars']",46.8735886,-113.9942703,MT,"32 Campus Dr, Missoula, MT 59812",1536.5795180145535,3.5,9,False,No,No,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Casual,,Very Loud,Full Bar,No,Free,Yes,No,Yes,,,2
press-box-missoula,Press Box,"['pizza', 'sportsbars']",46.868637,-113.98336,MT,"32 Campus Dr, Missoula, MT 59812",815.1711111826442,2.5,14,False,No,No,Yes,Yes,,,Private Lot,Yes,No,No,Yes,Casual,,Loud,Full Bar,No,Free,Yes,,Yes,No,,2
