id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
the-refectory-cafe-durham-5,The Refectory Cafe,"['newamerican', 'breakfast_brunch', 'soup']",35.974381,-78.933032,NC,"2138 Campus Dr, Durham, NC 27708",2822.5315048462367,4.0,84,False,Yes,No,Yes,Yes,,Brunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,Yes,Yes,Yes,,2
guglhupf-bakery-and-patisserie-durham,Guglhupf Bakery & Patisserie,"['bakeries', 'german', 'cafes']",35.9743086,-78.9323158,NC,"2138 Campus Dr, Durham, NC 27708",2831.7325355199323,4.0,444,False,Yes,No,Yes,Yes,No,Brunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,Yes,Yes,No,,2
roses-meat-market-and-sweet-shop-durham,Rose's Meat Market and Sweet Shop,"['desserts', 'meats', 'sandwiches']",36.00075,-78.90898,NC,"2138 Campus Dr, Durham, NC 27708",2184.762505158248,4.5,53,False,No,No,Yes,Yes,,"Lunch, Dessert","Street, Private Lot",Yes,Yes,No,No,Casual,Hipster,Quiet,No,Yes,No,No,No,No,No,,2
pizza-mia-durham,Pizza Mia,"['italian', 'pizza', 'sandwiches']",36.0070076,-78.947052,NC,"2138 Campus Dr, Durham, NC 27708",1483.5059769925513,4.0,30,False,Yes,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,Free,Yes,,Yes,Yes,,1
nanataco-durham,Nanataco,['mexican'],35.9741707,-78.924942,NC,"2138 Campus Dr, Durham, NC 27708",2921.2546752070098,4.0,247,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,,1
mad-hatters-durham,Mad Hatter's,"['breakfast_brunch', 'bakeries', 'newamerican']",36.0063705,-78.9201431,NC,"2138 Campus Dr, Durham, NC 27708",1386.5696571118317,3.5,159,False,No,No,Yes,Yes,,Brunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,,No,Yes,,2
bahns-cuisine-durham-3,Bahn's Cuisine,"['vietnamese', 'chinese']",36.009449,-78.921722,NC,"2138 Campus Dr, Durham, NC 27708",1482.3162131132829,4.0,62,False,No,No,Yes,No,,Lunch,Street,Yes,Yes,Yes,No,Casual,Divey,Quiet,No,Yes,No,No,,No,No,,1
the-boot-durham,The Boot,['italian'],35.9742584,-78.9235306,NC,"2138 Campus Dr, Durham, NC 27708",2969.9739607464244,4.0,32,False,Yes,No,Yes,Yes,No,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,No,,Yes,Yes,,2
oval-park-grille-durham,Oval Park Grille,['tradamerican'],36.0165367,-78.9190521,NC,"2138 Campus Dr, Durham, NC 27708",2265.9324339493737,3.5,41,False,Yes,No,Yes,Yes,No,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
hummingbird-bakery-durham,Hummingbird Bakery,"['bakeries', 'sandwiches']",36.0094353865054,-78.9197775684172,NC,"2138 Campus Dr, Durham, NC 27708",1619.27894967885,4.0,37,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,,Yes,No,Casual,Trendy,Quiet,Beer & Wine Only,Yes,,No,,No,Yes,,1
dashi-durham-2,Dashi,"['ramen', 'tapasmallplates']",35.997097,-78.89923,NC,"2138 Campus Dr, Durham, NC 27708",3073.7439513521135,3.0,95,False,No,No,No,Yes,,Dinner,"Garage, Street",Yes,,No,No,Casual,Casual,Average,Full Bar,No,No,No,,Yes,No,,2
taqueria-la-vaquita-durham,Taqueria La Vaquita,['mexican'],35.9769096,-78.9364624,NC,"2138 Campus Dr, Durham, NC 27708",2551.7254251490053,4.5,76,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Divey,Average,No,Yes,No,No,,No,No,,1
pad-thai-durham,Pad Thai,['thai'],36.0264558345079,-78.9227966219187,NC,"2138 Campus Dr, Durham, NC 27708",3123.3938149732517,4.0,84,False,Yes,No,Yes,Yes,No,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,Free,No,,Yes,No,,2
gonza-tacos-y-tequila-durham,Gonza Tacos Y Tequila,"['bars', 'mexican', 'latin']",36.000178232789,-78.9053542166948,NC,"2138 Campus Dr, Durham, NC 27708",2489.455221035364,4.0,28,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,,No,,Yes,,,2
noodles-and-company-durham,Noodles & Company,"['asianfusion', 'comfortfood', 'italian']",36.0090622619838,-78.9444406645208,NC,"2138 Campus Dr, Durham, NC 27708",1443.905828010458,3.5,45,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,Yes,Free,No,,No,Yes,,1
sushi-love-durham,Sushi Love,['sushi'],36.0068953552447,-78.9469814300537,NC,"2138 Campus Dr, Durham, NC 27708",1468.9044601290698,3.5,143,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,,,2
taberna-tapas-durham,Taberna Tapas,['spanish'],35.9964425861835,-78.90326410532,NC,"2138 Campus Dr, Durham, NC 27708",2766.142140314808,4.0,97,False,Yes,No,Yes,Yes,,Dinner,"Garage, Street",Yes,,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,,Yes,No,,2
another-broken-egg-cafe-durham,Another Broken Egg Cafe,"['breakfast_brunch', 'cafes', 'tradamerican']",36.0095482,-78.9448776,NC,"2138 Campus Dr, Durham, NC 27708",1483.8073673492352,3.5,99,False,No,No,Yes,Yes,,Brunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
mediterra-grill-durham,Mediterra Grill,"['mediterranean', 'mideastern']",36.0095482,-78.9448776,NC,"2138 Campus Dr, Durham, NC 27708",1483.8073673492352,3.5,51,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,No,Yes,,1
the-original-q-shack-durham,The Original Q Shack,['bbq'],35.974628,-78.924316,NC,"2138 Campus Dr, Durham, NC 27708",2910.230102478615,4.0,291,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,,No,Yes,,1
rue-cler-durham,Rue Cler,"['french', 'breakfast_brunch']",35.9970358,-78.8997553,NC,"2138 Campus Dr, Durham, NC 27708",3027.159456997995,4.0,291,False,Yes,No,Yes,Yes,,Brunch,"Garage, Street, Validated",Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,Free,No,No,Yes,No,,2
