id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
dominos-pizza-west-lafayette-3,Domino's Pizza,"['pizza', 'chicken_wings', 'sandwiches']",40.4205437,-86.9008713,IN,"610 Purdue Mall, West Lafayette, IN 47907",1433.1729968919676,3.5,4,False,,,,,,,,,,,,,,,,,,,,,,,
texas-roadhouse-lafayette,Texas Roadhouse,"['tradamerican', 'steak', 'bbq']",40.394333,-86.849358,IN,"610 Purdue Mall, West Lafayette, IN 47907",6669.4337170877525,3.5,22,False,No,No,Yes,Yes,,Dinner,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Loud,Full Bar,No,No,Yes,,Yes,Yes,,2
la-salsa-fresh-mexican-grill-west-lafayette,La Salsa Fresh Mexican Grill,['mexican'],40.4253883,-86.9106674,IN,"610 Purdue Mall, West Lafayette, IN 47907",489.9979839796298,3.0,1,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Average,No,No,No,No,,No,,,1
new-cheng-du-lafayette-2,New Cheng Du,['szechuan'],40.418251,-86.836678,IN,"610 Purdue Mall, West Lafayette, IN 47907",6494.141563819301,3.5,16,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,,Yes,No,,1
mcdonalds-lafayette-4,McDonald's,"['hotdogs', 'burgers']",40.3875600427556,-86.9051283618051,IN,"610 Purdue Mall, West Lafayette, IN 47907",4591.547206231298,3.5,2,False,,,,Yes,,,,,,,,,,,,,Free,,,,,,1
jimmy-johns-west-lafayette-5,Jimmy John's,['sandwiches'],40.4533886,-86.9193709,IN,"610 Purdue Mall, West Lafayette, IN 47907",2827.314407748578,5.0,1,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,Yes,,Yes,,No,Yes,,1
culvers-lafayette,Culver's,"['icecream', 'newamerican']",40.421093,-86.839569,IN,"610 Purdue Mall, West Lafayette, IN 47907",6383.539229293829,3.5,9,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,,Average,No,Yes,Free,No,,Yes,No,,1
o-charleys-lafayette,O'Charley's,"['breakfast_brunch', 'tradamerican']",40.392601,-86.851295,IN,"610 Purdue Mall, West Lafayette, IN 47907",6651.698778587297,3.5,26,False,No,No,Yes,Yes,,"Brunch, Dinner",Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,No,,2
firehouse-subs-lafayette,Firehouse Subs,"['sandwiches', 'hotdogs', 'delis']",40.414386,-86.839447,IN,"610 Purdue Mall, West Lafayette, IN 47907",6528.515295867023,4.0,14,False,No,No,Yes,Yes,,Lunch,,No,,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,,No,,No,1
el-rodeo-lafayette-3,El Rodeo,['mexican'],40.386463,-86.900879,IN,"610 Purdue Mall, West Lafayette, IN 47907",4784.788619919801,3.0,1,False,Yes,,,,,,,,,,,Casual,,,,,,,,Yes,,,
