id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
nuvegan-café-college-park,NuVegan Café,"['vegan', 'juicebars', 'soulfood']",38.991455,-76.934456,MD,"University of Maryland College Park, 20740",649.1218844938,3.5,3.5,22,False,No,No,Yes,Yes,,Lunch,,Yes,,Yes,Yes,Casual,,Average,No,No,,Yes,,No,Yes,,2
moby-dick-house-of-kabob-college-park,Moby Dick House of Kabob,['mideastern'],39.0010986328,-76.9257736206,MD,"University of Maryland College Park, 20740",1637.5328730261,4,4,13,False,No,No,Yes,Yes,,Lunch,,,,,Yes,Casual,,Loud,No,No,,No,,No,,,2
siris-chef-secret-greenbelt,Siri's Chef Secret,['thai'],38.9985177128,-76.9140623561,MD,"University of Maryland College Park, 20740",2435.6911461209,4,3.5,117,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Quiet,Full Bar,No,No,No,,Yes,Yes,,2
applebees-college-park,Applebee's,"['tradamerican', 'sportsbars', 'burgers']",38.9790192,-76.9388504,MD,"University of Maryland College Park, 20740",791.8875367745,2,2,69,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,,No,2
five-guys-burgers-and-fries-college-park,Five Guys Burgers and Fries,"['burgers', 'hotdogs']",38.981584,-76.937585,MD,"University of Maryland College Park, 20740",506.7237670193,3.5,3.5,21,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Very Loud,No,No,No,No,,No,,No,1
pizza-autentica-college-park,Pizza Autentica,"['pizza', 'italian', 'icecream']",38.992542,-76.933662,MD,"University of Maryland College Park, 20740",778.8646495416,3.5,4,26,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,Casual,Average,,No,Free,No,,No,Yes,,2
shagga-coffee-and-restaurant-hyattsville,Shagga Coffee & Restaurant,"['ethiopian', 'coffee']",38.961327,-76.9398269,MD,"University of Maryland College Park, 20740",2767.2055949315,4.5,4.5,140,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,Full Bar,No,Free,No,,Yes,Yes,,2
dennys-college-park,Denny's,"['diners', 'breakfast_brunch']",38.9939423,-76.9327469,MD,"University of Maryland College Park, 20740",956.6361287631,2,NA,33,False,No,No,Yes,Yes,,Brunch,Private Lot,No,,Yes,Yes,Casual,,Average,No,No,No,No,,Yes,No,,2
r-j-bentleys-restaurant-college-park,R J Bentley's Restaurant,['newamerican'],38.980446,-76.937561,MD,"University of Maryland College Park, 20740",633.1958996506,2,2.5,38,False,No,No,Yes,Yes,,"Lunch, Dinner",Street,No,Yes,No,Yes,Casual,Divey,Very Loud,Full Bar,Yes,No,Yes,,Yes,No,,2
s-and-j-restaurant-riverdale,S & J Restaurant,"['newamerican', 'karaoke']",38.96254,-76.93576,MD,"University of Maryland College Park, 20740",2623.3629920098,4.5,4,10,False,No,No,Yes,Yes,,,Street,Yes,Yes,No,Yes,Casual,Divey,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,1
prince-café-college-park-2,Prince Café,"['hookah_bars', 'mediterranean']",38.99091,-76.932793,MD,"University of Maryland College Park, 20740",660.6610144759,2,NA,27,False,No,No,No,Yes,,Late Night,,,No,No,Yes,Casual,,Loud,No,No,No,Yes,,Yes,,,1
pizza-mart-college-park,Pizza Mart,['pizza'],38.9813422412,-76.9380377233,MD,"University of Maryland College Park, 20740",548.4579674474,4,NA,5,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,No,Free,Yes,,,,,1
dumms-pizza-and-subs-riverdale,Dumm's Pizza & Subs,"['pizza', 'sandwiches']",38.9618935436,-76.9349129498,MD,"University of Maryland College Park, 20740",2688.3035464391,4,4,31,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,,Yes,No,Casual,Divey,Average,Beer & Wine Only,No,No,Yes,,No,Yes,,1
5-bread-2-fish-hyattsville,5 Bread 2 Fish,['hotdogs'],38.970432,-76.94973,MD,"University of Maryland College Park, 20740",2049.981932319,4.5,NA,4,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Loud,No,Yes,No,No,,No,,No,1
taco-bell-college-park,Taco Bell,"['mexican', 'tex-mex', 'hotdogs']",38.9943287847,-76.9328929111,MD,"University of Maryland College Park, 20740",987.7764820114,4,NA,6,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Quiet,No,No,,No,,,,Yes,1
silver-diner-greenbelt,Silver Diner,"['newamerican', 'breakfast_brunch', 'vegetarian']",38.9981322192,-76.9100221509,MD,"University of Maryland College Park, 20740",2709.5189240663,3.5,3.5,126,False,No,No,Yes,Yes,,"Breakfast, Brunch",Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,No,Yes,Yes,,2
azteca-restaurant-cantina-college-park,Azteca Restaurant-Cantina,"['mexican', 'catering']",39.009167,-76.928711,MD,"University of Maryland College Park, 20740",2666.4258139499,3.5,NA,126,False,Yes,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2
el-taco-rico-greenbelt,El Taco Rico,['mexican'],38.999046,-76.911148,MD,"University of Maryland College Park, 20740",2675.9077538474,4,4,18,False,No,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,,Average,No,No,No,No,,Yes,No,,1
la-chiquita-restaurant-hyattsville-3,La Chiquita Restaurant,['latin'],38.965915,-76.953109,MD,"University of Maryland College Park, 20740",2632.3662253396,4,NA,12,False,Yes,No,Yes,Yes,No,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,No,No,Yes,No,Yes,Yes,,2
