id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
local-foods-houston-2,Local Foods,"['sandwiches', 'gluten_free', 'tradamerican']",29.7425611,-95.4181027,TX,"6100 Main St, Houston, TX 77005",3261.1268465453,4.5,259,False,No,No,Yes,Yes,,Brunch,Private Lot,Yes,,Yes,Yes,Casual,Hipster,Average,Full Bar,Yes,No,No,,No,Yes,,2
zoës-kitchen-houston-12,Zoës Kitchen,"['mediterranean', 'greek', 'newamerican']",29.7189355,-95.4166924,TX,"6100 Main St, Houston, TX 77005",1963.0853472736,4,33,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,No,No,,2
goode-company-seafood-houston-3,Goode Company Seafood,['seafood'],29.7285128246,-95.4203385626,TX,"6100 Main St, Houston, TX 77005",2493.7293334872,4,217,False,No,Yes,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2
55-bar-and-restaurant-houston,55 Bar & Restaurant,"['bars', 'newamerican']",29.7162647,-95.4150543,TX,"6100 Main St, Houston, TX 77005",1879.3189505411,3.5,91,False,Yes,No,Yes,Yes,,Late Night,"Garage, Street, Validated",Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
koagie-hots-houston,Koagie Hots,"['cheesesteaks', 'foodstands', 'hotdog']",29.742861,-95.39693,TX,"6100 Main St, Houston, TX 77005",2533.1455875621,4,97,False,No,No,Yes,Yes,,Late Night,Street,No,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,Yes,No,Yes,,1
aladdin-mediterranean-cuisine-houston,Aladdin Mediterranean Cuisine,"['greek', 'mediterranean']",29.745032,-95.391123,TX,"6100 Main St, Houston, TX 77005",2820.5762914852,4.5,455,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,Yes,,2
canopy-houston,Canopy,['newamerican'],29.737216,-95.390813,TX,"6100 Main St, Houston, TX 77005",1980.050971997,3.5,272,False,Yes,No,Yes,Yes,,Brunch,"Valet, Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,,Yes,Yes,,2
secos-latin-cuisine-houston,Seco's Latin Cuisine,['latin'],29.7225055695,-95.4181594849,TX,"6100 Main St, Houston, TX 77005",2118.2056139849,4,101,False,Yes,No,Yes,Yes,,Brunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,2
docs-motorworks-bar-and-grill-houston,Doc's Motorworks Bar & Grill,"['bars', 'tradamerican', 'burgers']",29.7434601,-95.3950842,TX,"6100 Main St, Houston, TX 77005",2602.3959877295,4,69,False,No,No,Yes,Yes,,Brunch,"Street, Private Lot",Yes,,No,Yes,Casual,Hipster,Average,Full Bar,Yes,Free,Yes,,Yes,No,No,2
brasserie-max-and-julie-houston,Brasserie Max & Julie,"['french', 'brasseries']",29.7339787334,-95.3910899162,TX,"6100 Main St, Houston, TX 77005",1628.4701346988,3.5,197,False,Yes,No,No,Yes,,"Brunch, Dinner",Valet,No,Yes,No,Yes,Casual,"Intimate, Romantic",Average,Beer & Wine Only,Yes,No,No,,Yes,Yes,,3
