id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
san-fu-oriental-cuisine-ann-arbor,San Fu Oriental Cuisine,['chinese'],42.2731705,-83.7490692,MI,"500 S State St, Ann Arbor, MI 48109",725.2418723388,3,27,False,No,Yes,Yes,Yes,,Dinner,,Yes,,Yes,No,Casual,,Quiet,No,No,No,No,,No,Yes,,1,
blue-nile-of-ann-arbor-ann-arbor,Blue Nile of Ann Arbor,['ethiopian'],42.2805519,-83.7470093,MI,"500 S State St, Ann Arbor, MI 48109",631.0960921717,3.5,124,False,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Intimate,Average,Full Bar,Yes,No,No,,Yes,Yes,,2,
brueggers-bagels-ann-arbor-3,Bruegger's Bagels,"['bagels', 'breakfast_brunch', 'sandwiches']",42.278831,-83.740211,MI,"500 S State St, Ann Arbor, MI 48109",289.4668154386,3,24,False,No,No,Yes,Yes,,Breakfast,Street,Yes,Yes,Yes,Yes,Casual,,Average,No,No,Free,No,,No,Yes,,1,
village-kitchen-ann-arbor,Village Kitchen,['tradamerican'],42.2840723185,-83.7813594447,MI,"500 S State St, Ann Arbor, MI 48109",3408.0404701755,4,28,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,,Yes,Yes,Casual,,Average,No,No,,No,,Yes,,,1,
chia-shiang-restaurant-ann-arbor-2,Chia Shiang Restaurant,['chinese'],42.2571907,-83.7278519,MI,"500 S State St, Ann Arbor, MI 48109",2389.4376606237,3,81,False,Yes,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,No,No,,Yes,No,,2,
the-lunch-room-bakery-and-cafe-ann-arbor-2,The Lunch Room - Bakery & Cafe,"['vegan', 'bakeries', 'cafes']",42.285274,-83.717193,MI,"500 S State St, Ann Arbor, MI 48109",2225.5516226382,5,5,False,No,No,Yes,Yes,,"Breakfast, Brunch, Lunch",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,Free,No,No,No,Yes,,1,
amers-delicatessen-ann-arbor-2,Amer's Delicatessen,"['delis', 'sandwiches']",42.274509,-83.734283,MI,"500 S State St, Ann Arbor, MI 48109",609.3182350773,3,15,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,Yes,Free,No,,,,,2,
bds-mongolian-grill-ann-arbor-6,bd's Mongolian Grill,['mongolian'],42.2803497314,-83.7489471436,MI,"500 S State St, Ann Arbor, MI 48109",776.9480104359,3.5,92,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2,
angelos-on-the-side-ann-arbor,Angelo's On The Side,"['newamerican', 'breakfast_brunch']",42.2831194103,-83.7351355702,MI,"500 S State St, Ann Arbor, MI 48109",987.3363280331,3.5,18,False,No,Yes,Yes,Yes,,,,,,Yes,No,Casual,,Average,No,No,,No,,Yes,,,2,
tony-saccos-coal-oven-pizza-ann-arbor,Tony Sacco's Coal Oven Pizza,['pizza'],42.2463634948,-83.7561135357,MI,"500 S State St, Ann Arbor, MI 48109",3538.1706144391,4,43,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,No,,2,
